station,valid,lon,lat,elevation,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
46U,2023-09-01 00:55,-111.0424,43.1846,1713.61,66.20,39.20,37.03,110.00,8.00,0.00,29.97,null,10.00,14.00,SCT,null,null,null,11000.00,null,null,null,null,null,null,null,null,null,null,66.20,K46U 010655Z AUTO 11008G14KT 10SM SCT110 19/04 A2997 RMK A01,null
46U,2023-09-01 01:55,-111.0424,43.1846,1713.61,66.20,41.00,39.72,90.00,6.00,0.00,29.94,null,10.00,17.00,FEW,null,null,null,12000.00,null,null,null,null,null,null,null,null,null,null,66.20,K46U 010755Z AUTO 09006G17KT 10SM FEW120 19/05 A2994 RMK A01,null
46U,2023-09-01 02:55,-111.0424,43.1846,1713.61,66.20,41.00,39.72,130.00,10.00,0.00,29.94,null,10.00,null,FEW,FEW,null,null,9000.00,12000.00,null,null,null,null,null,null,null,null,null,66.20,K46U 010855Z AUTO 13010KT 10SM FEW090 FEW120 19/05 A2994 RMK A01,null
46U,2023-09-01 03:55,-111.0424,43.1846,1713.61,64.40,41.00,42.28,120.00,11.00,0.00,29.96,null,10.00,18.00,SCT,null,null,null,12000.00,null,null,null,null,null,null,null,null,null,null,64.40,K46U 010955Z AUTO 12011G18KT 10SM SCT120 18/05 A2996 RMK A01,null
46U,2023-09-01 04:55,-111.0424,43.1846,1713.61,62.60,41.00,45.04,120.00,16.00,0.00,29.96,null,10.00,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,62.60,K46U 011055Z AUTO 12016KT 10SM CLR 17/05 A2996 RMK A01,null
46U,2023-09-01 05:55,-111.0424,43.1846,1713.61,60.80,41.00,48.00,130.00,9.00,0.00,29.98,null,10.00,15.00,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,60.80,K46U 011155Z AUTO 13009G15KT 10SM CLR 16/05 A2998 RMK A01,null
46U,2023-09-01 06:55,-111.0424,43.1846,1713.61,59.00,41.00,51.18,130.00,16.00,0.00,30.01,null,10.00,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,59.00,K46U 011255Z AUTO 13016KT 10SM CLR 15/05 A3001 RMK A01,null
46U,2023-09-01 07:55,-111.0424,43.1846,1713.61,57.20,42.80,58.52,130.00,8.00,0.00,30.04,null,6.00,null,CLR,null,null,null,null,null,null,null,HZ,null,null,null,null,null,null,57.20,K46U 011355Z AUTO 13008KT 6SM HZ CLR 14/06 A3004 RMK A01,null
46U,2023-09-01 08:55,-111.0424,43.1846,1713.61,60.80,42.80,51.45,130.00,8.00,0.00,30.05,null,10.00,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,60.80,K46U 011455Z AUTO 13008KT 10SM CLR 16/06 A3005 RMK A01,null
46U,2023-09-01 09:55,-111.0424,43.1846,1713.61,66.20,42.80,42.57,130.00,6.00,0.00,30.05,null,10.00,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,66.20,K46U 011555Z AUTO 13006KT 10SM CLR 19/06 A3005 RMK A01,null
46U,2023-09-01 10:55,-111.0424,43.1846,1713.61,71.60,46.40,40.57,150.00,5.00,0.00,30.06,null,10.00,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,71.60,K46U 011655Z AUTO 15005KT 10SM CLR 22/08 A3006 RMK A01,null
46U,2023-09-01 11:55,-111.0424,43.1846,1713.61,75.20,48.20,38.46,140.00,7.00,0.00,30.06,null,9.00,16.00,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,75.20,K46U 011755Z AUTO 14007G16KT 120V180 9SM CLR 24/09 A3006 RMK A01,null
