Site Id,Date,Time,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,SNWD.I-1 (in) 
683,10/1/23,,0,0,7.2,20.7,6.8,11.1,0
683,10/2/23,,0,0,1.3,11.7,0.8,5.3,0
683,10/3/23,,0,0.1,0.1,9.3,0,3.2,0
683,10/4/23,,0.6,0.8,0.1,3.3,-1.3,0.4,3
683,10/5/23,,0.8,1,1.3,3.3,-0.8,1.1,2
683,10/6/23,,0.7,1,1,5.1,-1,1.8,1
683,10/7/23,,0.4,1,3.1,15.4,-1.2,5.1,1
683,10/8/23,,0,1,5,19.5,1.9,8.3,0
683,10/9/23,,0,1,4.4,19.9,3.5,9,0
683,10/10/23,,0,1,5.8,19.8,3.3,8.8,0
683,10/11/23,,0,1,1.3,17.8,1.1,7.2,0
683,10/12/23,,0.7,1.9,-0.9,5.8,-0.9,0.9,6
683,10/13/23,,1.3,2.4,-1.1,2.5,-1.4,-0.4,8
683,10/14/23,,1.2,2.4,0.4,11.2,-3.4,1,6
683,10/15/23,,1.1,2.4,-0.8,10.5,-1.2,1.3,5
683,10/16/23,,1,2.4,3,13.3,-1.1,3.9,3
683,10/17/23,,0.9,2.4,4.6,19.9,2.5,8.5,2
683,10/18/23,,0.5,2.4,1,11.6,0.9,5.9,1
683,10/19/23,,0.5,2.5,2.7,14.7,-0.7,5,1
683,10/20/23,,0.3,2.5,5.1,19.2,1.8,8,1
683,10/21/23,,0.1,2.5,4.5,19.6,3.2,8.6,1
683,10/22/23,,0,2.5,2.8,18.2,2.6,7.7,0
683,10/23/23,,0,2.5,2.9,16,1.6,6.4,0
683,10/24/23,,0.4,2.9,0.1,6.6,0.1,2.1,3
683,10/25/23,,0.5,3.1,-0.2,6.8,-2.7,-0.1,2
683,10/26/23,,1.6,4.1,-1.7,1.4,-1.7,0,12
683,10/27/23,,1.8,4.4,-9.8,-1.7,-12.2,-6.9,17
683,10/28/23,,2.1,4.7,-12.1,3.6,-12.1,-7.6,17
683,10/29/23,,2.1,4.7,-18,4.5,-18.2,-11.3,15
683,10/30/23,,2.1,4.7,-13,2.3,-20.1,-12.2,13
683,10/31/23,,2.1,4.7,-9.7,-1.5,-15.1,-8.8,12
683,11/1/23,,2.2,4.7,-6.8,10.3,-11.7,-4.6,12
683,11/2/23,,2.3,4.8,-3.9,9.2,-7.3,-2.4,11
683,11/3/23,,3,5.5,-0.5,-0.3,-4.3,-2.1,17
683,11/4/23,,3.3,5.8,-0.6,10.1,-1.7,0,17
683,11/5/23,,3.4,6,0.8,8.6,-3.1,0.5,16
683,11/6/23,,4.2,6.8,-1.5,2.7,-1.8,0,21
683,11/7/23,,4.6,7.2,-2.1,4.4,-2.1,-0.1,24
683,11/8/23,,4.6,7.2,-5.5,7.2,-6,-3.2,22
683,11/9/23,,4.5,7.2,-8.2,3.7,-8.3,-5.3,21
683,11/10/23,,4.5,7.2,-9.4,-0.4,-10.1,-7.5,21
683,11/11/23,,4.5,7.2,-6,3.7,-11.7,-6.3,18
683,11/12/23,,4.6,7.2,-4,0,-6.1,-3.9,20
683,11/13/23,,4.6,7.2,-1.3,9.1,-4.8,-0.9,20
683,11/14/23,,4.6,7.2,-2.1,11.4,-2.6,1.3,19
683,11/15/23,,4.6,7.2,-0.3,7.2,-4.3,0.2,19
683,11/16/23,,4.6,7.2,-0.7,7.9,-1.5,1.3,18
683,11/17/23,,4.6,7.2,-2.5,5.3,-2.9,-0.2,18
683,11/18/23,,4.6,7.2,-4.2,7,-4.6,-1.5,17
683,11/19/23,,4.7,7.3,-2,9.6,-5,-0.6,18
683,11/20/23,,4.7,7.3,-5.6,2.3,-5.6,-2.2,18
683,11/21/23,,4.7,7.3,-10.1,-3.5,-10.8,-7.7,18
683,11/22/23,,4.7,7.3,-1.9,14.3,-10.5,-1,18
683,11/23/23,,4.8,7.4,-4.1,6.4,-5.8,-2,19
683,11/24/23,,5,7.4,-12.1,-4.1,-12.2,-7.8,22
683,11/25/23,,5,7.4,-13.6,-9.2,-15.9,-13,22
683,11/26/23,,5,7.4,-12.2,1.7,-15.1,-10,22
683,11/27/23,,5,7.4,-11.4,-2.1,-12.8,-9.6,22
683,11/28/23,,5,7.4,-10.2,0.5,-13,-9.1,21
