station,valid,lon,lat,elevation,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
P60,2023-09-01 00:56,-110.4211,44.5444,2368.00,46.00,34.00,62.71,null,3.00,0.00,30.18,1015.20,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44.69,KP60 010656Z AUTO VRB03KT 08/01 A3018 RMK AO1 SLP152 T00780011 401941006,null
P60,2023-09-01 01:56,-110.4211,44.5444,2368.00,46.00,37.00,70.64,0.00,0.00,0.00,30.17,1014.30,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46.00,KP60 010756Z AUTO 00000KT 08/03 A3017 RMK AO1 SLP143 T00780028,null
P60,2023-09-01 02:56,-110.4211,44.5444,2368.00,42.00,36.00,79.11,310.00,3.00,0.00,30.14,1013.80,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40.12,KP60 010856Z AUTO 31003KT 06/02 A3014 RMK AO1 SLP138 T00560022 50008,null
P60,2023-09-01 03:56,-110.4211,44.5444,2368.00,40.00,35.00,82.15,0.00,0.00,0.00,30.13,1013.40,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40.00,KP60 010956Z AUTO 00000KT 04/02 A3013 RMK AO1 SLP134 T00440017,null
P60,2023-09-01 04:56,-110.4211,44.5444,2368.00,39.00,35.00,85.42,310.00,3.00,0.00,30.13,1013.30,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36.69,KP60 011056Z AUTO 31003KT 04/02 A3013 RMK AO1 SLP133 T00390017,null
P60,2023-09-01 05:56,-110.4211,44.5444,2368.00,38.00,36.00,92.42,290.00,3.00,0.00,30.13,1013.50,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35.55,KP60 011156Z AUTO 29003KT 03/02 A3013 RMK AO1 SLP135 T00330022 10122 20033 56005,null
P60,2023-09-01 06:56,-110.4211,44.5444,2368.00,38.00,36.00,92.42,310.00,3.00,0.00,30.13,1013.90,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35.55,KP60 011256Z AUTO 31003KT 03/02 A3013 RMK AO1 SLP139 T00330022,null
P60,2023-09-01 07:56,-110.4211,44.5444,2368.00,43.00,38.00,82.37,0.00,0.00,0.00,30.15,1015.90,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,43.00,KP60 011356Z AUTO 00000KT 06/03 A3015 RMK AO1 SLP159 T00610033,null
P60,2023-09-01 08:56,-110.4211,44.5444,2368.00,52.00,45.00,76.94,0.00,0.00,0.00,30.17,1015.70,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,52.00,KP60 011456Z AUTO 00000KT 11/07 A3017 RMK AO1 SLP157 T01110072 53012,null
P60,2023-09-01 09:56,-110.4211,44.5444,2368.00,64.00,41.00,42.88,0.00,0.00,0.00,30.17,1014.60,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,64.00,KP60 011556Z AUTO 00000KT 18/05 A3017 RMK AO1 SLP146 T01780050,null
