station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
WYS,2023-09-01 00:55,68.00,24.80,19.47,M,6.00,0.00,30.02,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,68.00,KWYS 010055Z AUTO VRB06KT 10SM CLR 20/M04 A3002 RMK AO2,M
WYS,2023-09-01 01:55,60.80,32.00,33.64,210.00,3.00,0.00,30.01,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,60.80,KWYS 010155Z AUTO 21003KT 10SM CLR 16/M00 A3001 RMK AO2,M
WYS,2023-09-01 02:55,51.80,35.60,53.81,0.00,0.00,0.00,30.03,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,51.80,KWYS 010255Z AUTO 00000KT 10SM CLR 11/02 A3003 RMK AO2,M
WYS,2023-09-01 03:55,46.40,37.40,70.68,200.00,4.00,0.00,30.04,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,44.24,KWYS 010355Z AUTO 20004KT 10SM CLR 08/03 A3004 RMK AO2,M
WYS,2023-09-01 04:55,42.80,37.40,81.07,0.00,0.00,0.00,30.02,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,42.80,KWYS 010455Z AUTO 00000KT 10SM CLR 06/03 A3002 RMK AO2,M
WYS,2023-09-01 05:55,42.80,39.20,86.99,0.00,0.00,0.00,30.01,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,42.80,KWYS 010555Z AUTO 00000KT 10SM CLR 06/04 A3001 RMK AO2,M
WYS,2023-09-01 06:55,48.20,33.80,57.26,320.00,8.00,0.00,30.03,M,10.00,14.00,FEW,SCT,BKN,M,5500.00,7500.00,11000.00,M,M,M,M,M,M,M,M,44.07,KWYS 010655Z AUTO 32008G14KT 290V350 10SM FEW055 SCT075 BKN110 09/01 A3003 RMK AO2,M
WYS,2023-09-01 07:55,42.80,35.60,75.50,0.00,0.00,0.00,30.04,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,42.80,KWYS 010755Z AUTO 00000KT 10SM CLR 06/02 A3004 RMK AO2,M
WYS,2023-09-01 08:55,39.20,37.40,93.19,0.00,0.00,0.00,30.02,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,39.20,KWYS 010855Z AUTO 00000KT 10SM CLR 04/03 A3002 RMK AO2,M
WYS,2023-09-01 09:55,37.40,37.40,100.00,0.00,0.00,0.00,30.02,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,37.40,KWYS 010955Z AUTO 00000KT 10SM CLR 03/03 A3002 RMK AO2,M
WYS,2023-09-01 10:55,35.60,35.60,100.00,0.00,0.00,0.00,30.02,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,35.60,KWYS 011055Z AUTO 00000KT 10SM CLR 02/02 A3002 RMK AO2,M
WYS,2023-09-01 11:55,33.80,35.60,M,0.00,0.00,0.00,30.01,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KWYS 011155Z AUTO 00000KT 10SM CLR 01/02 A3001 RMK AO2,M
WYS,2023-09-01 12:55,33.80,33.80,100.00,0.00,0.00,0.00,30.03,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,33.80,KWYS 011255Z AUTO 00000KT 10SM CLR 01/01 A3003 RMK AO2,M
WYS,2023-09-01 13:55,41.00,39.20,93.24,0.00,0.00,0.00,30.05,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,41.00,KWYS 011355Z AUTO 00000KT 10SM CLR 05/04 A3005 RMK AO2,M
WYS,2023-09-01 14:55,50.00,39.20,66.27,0.00,0.00,0.00,30.06,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,50.00,KWYS 011455Z AUTO 00000KT 10SM CLR 10/04 A3006 RMK AO2,M
WYS,2023-09-01 15:55,57.20,39.20,50.91,0.00,0.00,0.00,30.07,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,57.20,KWYS 011555Z AUTO 00000KT 10SM CLR 14/04 A3007 RMK AO2,M
WYS,2023-09-01 16:55,64.40,41.00,42.28,0.00,0.00,0.00,30.07,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,64.40,KWYS 011655Z AUTO 00000KT 10SM CLR 18/05 A3007 RMK AO2,M
WYS,2023-09-01 17:55,73.40,44.60,35.66,220.00,11.00,0.00,30.07,M,10.00,17.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,73.40,KWYS 011755Z AUTO 22011G17KT 10SM CLR 23/07 A3007 RMK AO2,M
WYS,2023-09-01 18:55,73.40,46.40,38.18,210.00,12.00,0.00,30.08,M,10.00,18.00,SCT,SCT,SCT,M,6500.00,7500.00,12000.00,M,M,M,M,M,M,M,M,73.40,KWYS 011855Z AUTO 21012G18KT 10SM SCT065 SCT075 SCT120 23/08 A3008 RMK AO2,M
WYS,2023-09-01 19:55,75.20,46.40,35.94,220.00,15.00,0.00,30.08,M,10.00,23.00,FEW,FEW,SCT,M,6000.00,8000.00,10000.00,M,M,M,M,M,M,M,M,75.20,KWYS 011955Z AUTO 22015G23KT 10SM FEW060 FEW080 SCT100 24/08 A3008 RMK AO2,M
