station,valid,lon,lat,elevation,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3,wxcodes
WYS,2023-09-01 00:55,-111.1176,44.6884,2026.60,CLR,M,M,M,M,M,M
WYS,2023-09-01 01:55,-111.1176,44.6884,2026.60,CLR,M,M,M,M,M,M
WYS,2023-09-01 02:55,-111.1176,44.6884,2026.60,CLR,M,M,M,M,M,M
WYS,2023-09-01 03:55,-111.1176,44.6884,2026.60,CLR,M,M,M,M,M,M
WYS,2023-09-01 04:55,-111.1176,44.6884,2026.60,CLR,M,M,M,M,M,M
WYS,2023-09-01 05:55,-111.1176,44.6884,2026.60,CLR,M,M,M,M,M,M
WYS,2023-09-01 06:55,-111.1176,44.6884,2026.60,FEW,SCT,BKN,5500.00,7500.00,11000.00,M
WYS,2023-09-01 07:55,-111.1176,44.6884,2026.60,CLR,M,M,M,M,M,M
WYS,2023-09-01 08:55,-111.1176,44.6884,2026.60,CLR,M,M,M,M,M,M
WYS,2023-09-01 09:55,-111.1176,44.6884,2026.60,CLR,M,M,M,M,M,M
WYS,2023-09-01 10:55,-111.1176,44.6884,2026.60,CLR,M,M,M,M,M,M
WYS,2023-09-01 11:55,-111.1176,44.6884,2026.60,CLR,M,M,M,M,M,M
WYS,2023-09-01 12:55,-111.1176,44.6884,2026.60,CLR,M,M,M,M,M,M
WYS,2023-09-01 13:55,-111.1176,44.6884,2026.60,CLR,M,M,M,M,M,M
WYS,2023-09-01 14:55,-111.1176,44.6884,2026.60,CLR,M,M,M,M,M,M
WYS,2023-09-01 15:55,-111.1176,44.6884,2026.60,CLR,M,M,M,M,M,M
WYS,2023-09-01 16:55,-111.1176,44.6884,2026.60,CLR,M,M,M,M,M,M
WYS,2023-09-01 17:55,-111.1176,44.6884,2026.60,CLR,M,M,M,M,M,M
WYS,2023-09-01 18:55,-111.1176,44.6884,2026.60,SCT,SCT,SCT,6500.00,7500.00,12000.00,M
WYS,2023-09-01 19:55,-111.1176,44.6884,2026.60,FEW,FEW,SCT,6000.00,8000.00,10000.00,M
WYS,2023-09-01 20:55,-111.1176,44.6884,2026.60,FEW,SCT,SCT,7000.00,9000.00,11000.00,M
WYS,2023-09-01 21:55,-111.1176,44.6884,2026.60,FEW,M,M,11000.00,M,M,M
WYS,2023-09-01 22:55,-111.1176,44.6884,2026.60,SCT,BKN,M,6500.00,11000.00,M,M
WYS,2023-09-01 23:55,-111.1176,44.6884,2026.60,SCT,M,M,11000.00,M,M,M
WYS,2023-09-02 00:55,-111.1176,44.6884,2026.60,FEW,M,M,12000.00,M,M,M
WYS,2023-09-02 01:55,-111.1176,44.6884,2026.60,CLR,M,M,M,M,M,M
WYS,2023-09-02 02:55,-111.1176,44.6884,2026.60,FEW,BKN,OVC,4900.00,6000.00,7000.00,M
WYS,2023-09-02 03:55,-111.1176,44.6884,2026.60,SCT,M,M,8000.00,M,M,M
WYS,2023-09-02 04:55,-111.1176,44.6884,2026.60,FEW,BKN,M,5000.00,10000.00,M,M
WYS,2023-09-02 05:55,-111.1176,44.6884,2026.60,FEW,M,M,10000.00,M,M,M
WYS,2023-09-02 06:55,-111.1176,44.6884,2026.60,CLR,M,M,M,M,M,M
WYS,2023-09-02 07:55,-111.1176,44.6884,2026.60,FEW,M,M,5500.00,M,M,M
WYS,2023-09-02 08:55,-111.1176,44.6884,2026.60,CLR,M,M,M,M,M,M
WYS,2023-09-02 09:55,-111.1176,44.6884,2026.60,CLR,M,M,M,M,M,M
WYS,2023-09-02 10:55,-111.1176,44.6884,2026.60,OVC,M,M,6500.00,M,M,M
WYS,2023-09-02 11:55,-111.1176,44.6884,2026.60,BKN,OVC,M,6500.00,7500.00,M,M
WYS,2023-09-02 12:55,-111.1176,44.6884,2026.60,SCT,SCT,OVC,4400.00,5000.00,6000.00,M
WYS,2023-09-02 13:55,-111.1176,44.6884,2026.60,FEW,SCT,OVC,3800.00,4500.00,6500.00,M
WYS,2023-09-02 14:55,-111.1176,44.6884,2026.60,SCT,BKN,M,5000.00,6000.00,M,M
