valid,tmpf,p01i,relh,sknt,tmp_c,Td,P_mm,cumm_prec
2023-10-27T00:56:00Z,19,0.01,87.87,0.00,-7.222222222222222,-9.648222222222222,0.245,0.245
2023-10-28T02:56:00Z,14,0.01,83.77,0.00,-10,-13.246,0.245,0.49
2023-11-02T08:56:00Z,28,0.02,92.08,0.00,-2.2222222222222223,-3.806222222222223,0.49,0.98
2023-11-02T09:56:00Z,30,0.02,88.44,0.00,-1.1111111111111112,-3.4231111111111114,0.49,1.47
2023-11-02T10:56:00Z,30,0.04,92.15,0.00,-1.1111111111111112,-2.68111111111111,0.98,2.45
2023-11-02T11:56:00Z,31,0.03,92.19,0.00,-0.5555555555555556,-2.117555555555556,0.735,3.185
2023-11-02T19:56:00Z,31,0.04,96.02,0.00,-0.5555555555555556,-1.3515555555555565,0.98,4.165
2023-11-08T05:56:00Z,19,0.01,87.87,0.00,-7.222222222222222,-9.648222222222222,0.245,4.41
2023-11-10T09:56:00Z,25,0.01,71.22,0.00,-3.8888888888888893,-9.64488888888889,0.245,4.655
2023-11-19T01:56:00Z,28,0.01,92.08,0.00,-2.2222222222222223,-3.806222222222223,0.245,4.9
2023-11-19T02:56:00Z,28,0.01,92.08,0.00,-2.2222222222222223,-3.806222222222223,0.245,5.145
2023-11-19T05:56:00Z,28,0.02,95.97,0.00,-2.2222222222222223,-3.0282222222222224,0.49,5.635
2023-11-19T06:56:00Z,29,0.03,92.12,0.00,-1.6666666666666667,-3.2426666666666657,0.735,6.37
2023-12-01T08:56:00Z,17,0.01,83.98,0.00,-8.333333333333334,-11.537333333333333,0.245,6.615
2023-12-01T09:56:00Z,20,0.01,77.16,0.00,-6.666666666666667,-11.234666666666667,0.245,6.859999999999999
2023-12-03T15:56:00Z,23,0.02,84.39,0.00,-5,-8.122,0.49,7.35
2023-12-03T16:56:00Z,22,0.02,88.02,0.00,-5.555555555555555,-7.951555555555556,0.49,7.84
2023-12-03T17:56:00Z,22,0.05,88.02,0.00,-5.555555555555555,-7.951555555555556,1.225,9.065
2023-12-04T04:56:00Z,28,0.01,88.33,0.00,-2.2222222222222223,-4.556222222222223,0.245,9.31
2023-12-07T02:56:00Z,28,0.02,92.08,0.00,-2.2222222222222223,-3.806222222222223,0.49,9.8
2023-12-07T03:56:00Z,29,0.03,92.12,0.00,-1.6666666666666667,-3.2426666666666657,0.735,10.535
2023-12-07T04:56:00Z,29,0.02,92.12,0.00,-1.6666666666666667,-3.2426666666666657,0.49,11.025
2023-12-08T03:56:00Z,18,0.05,91.72,0.00,-7.777777777777779,-9.43377777777778,1.225,12.25
2023-12-08T04:56:00Z,16,0.02,91.64,0.00,-8.88888888888889,-10.56088888888889,0.49,12.74
2023-12-08T05:56:00Z,18,0.02,91.72,0.00,-7.777777777777779,-9.43377777777778,0.49,13.23
2023-12-08T06:56:00Z,18,0.03,91.72,0.00,-7.777777777777779,-9.43377777777778,0.735,13.965
2023-12-08T07:56:00Z,19,0.04,91.76,0.00,-7.222222222222222,-8.870222222222221,0.98,14.945
2023-12-08T08:56:00Z,19,0.01,91.76,0.00,-7.222222222222222,-8.870222222222221,0.245,15.19
2023-12-08T09:56:00Z,22,0.01,84.33,0.00,-5.555555555555555,-8.689555555555556,0.245,15.435
2023-12-10T00:56:00Z,13,0.03,83.7,0.00,-10.555555555555555,-13.815555555555555,0.735,16.17
2023-12-10T01:56:00Z,13,0.02,80.02,0.00,-10.555555555555555,-14.551555555555556,0.49,16.66
2023-12-10T05:56:00Z,14,0.01,76.58,0.00,-10,-14.684000000000001,0.245,16.905
2023-12-10T10:56:00Z,18,0.01,80.44,0.00,-7.777777777777779,-11.68977777777778,0.245,17.15
2023-12-10T18:56:00Z,19,0.02,87.87,0.00,-7.222222222222222,-9.648222222222222,0.49,17.64
2023-12-10T19:56:00Z,19,0.01,87.87,0.00,-7.222222222222222,-9.648222222222222,0.245,17.885
2023-12-10T20:56:00Z,18,0.02,91.72,0.00,-7.777777777777779,-9.43377777777778,0.49,18.375
2023-12-20T02:56:00Z,22,0.03,91.87,0.00,-5.555555555555555,-7.181555555555555,0.735,19.11
2023-12-20T05:56:00Z,24,0.01,91.94,0.00,-4.444444444444445,-6.056444444444445,0.245,19.355
2023-12-22T17:56:00Z,31,0.01,84.92,0.00,-0.5555555555555556,-3.5715555555555554,0.245,19.6
2023-12-22T21:56:00Z,30,0.01,88.44,0.00,-1.1111111111111112,-3.4231111111111114,0.245,19.845
2023-12-23T00:56:00Z,30,0.01,88.44,0.00,-1.1111111111111112,-3.4231111111111114,0.245,20.09
2023-12-23T04:56:00Z,29,0.01,88.38,0.00,-1.6666666666666667,-3.9906666666666677,0.245,20.335
2023-12-23T07:56:00Z,27,0.02,84.66,0.00,-2.7777777777777777,-5.845777777777778,0.49,20.825
2024-01-04T23:56:00Z,20,0.01,87.92,0.00,-6.666666666666667,-9.082666666666666,0.245,21.07
2024-01-05T00:56:00Z,17,0.01,83.98,0.00,-8.333333333333334,-11.537333333333333,0.245,21.315
2024-01-05T06:56:00Z,15,0.01,91.61,0.00,-9.444444444444445,-11.122444444444445,0.245,21.56
