station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,snowdepth,tmp_c,P_mm,meltrate,HP_fresh_snow,snowfall,cummulative_snowfall,delta_snow_depth,albedo,wind_speed_ms,U10,U10_thres,blowing,TTE
P60,2023-09-01T00:56:00Z,46,34,62.71,null,3,0,30.18,1015.20,null,null,null,null,null,null,null,null,44.69,0,7.777777777777779,0,3.8888888888888897,1100.3996560128166,0,0,NA,0.15,1.5432098765432098,2.0119814336856185,11.019652439872553,FALSE,NA
P60,2023-09-01T01:56:00Z,46,37,70.64,0.00,0,0,30.17,1014.30,null,null,null,null,null,null,null,null,46.00,0,7.777777777777779,0,3.8888888888888897,1100.3996560128166,0,0,0,0.15,0,0,11.019652439872553,FALSE,NA
P60,2023-09-01T02:56:00Z,42,36,79.11,310.00,3,0,30.14,1013.80,null,null,null,null,null,null,null,null,40.12,0,5.555555555555555,0,2.7777777777777777,505.70055245053936,0,0,0,0.15,1.5432098765432098,2.0119814336856185,10.565466028480396,FALSE,NA
P60,2023-09-01T03:56:00Z,40,35,82.15,0.00,0,0,30.13,1013.40,null,null,null,null,null,null,null,null,40.00,0,4.444444444444445,0,2.2222222222222223,352.9850312374796,0,0,0,0.15,0,0,10.338372822784317,FALSE,NA
P60,2023-09-01T04:56:00Z,39,35,85.42,310.00,3,0,30.13,1013.30,null,null,null,null,null,null,null,null,36.69,0,3.8888888888888897,0,1.9444444444444449,297.9516986214223,0,0,0,0.15,1.5432098765432098,2.0119814336856185,10.224826219936276,FALSE,NA
P60,2023-09-01T05:56:00Z,38,36,92.42,290.00,3,0,30.13,1013.50,null,null,null,null,null,null,null,null,35.55,0,3.3333333333333335,0,1.6666666666666667,253.54284592028836,0,0,0,0.15,1.5432098765432098,2.0119814336856185,10.111279617088236,FALSE,NA
P60,2023-09-01T06:56:00Z,38,36,92.42,310.00,3,0,30.13,1013.90,null,null,null,null,null,null,null,null,35.55,0,3.3333333333333335,0,1.6666666666666667,253.54284592028836,0,0,0,0.15,1.5432098765432098,2.0119814336856185,10.111279617088236,FALSE,NA
P60,2023-09-01T07:56:00Z,43,38,82.37,0.00,0,0,30.15,1015.90,null,null,null,null,null,null,null,null,43.00,0,6.111111111111112,0,3.055555555555556,610.4362167100221,0,0,0,0.15,0,0,10.679012631328435,FALSE,NA
P60,2023-09-01T08:56:00Z,52,45,76.94,0.00,0,0,30.17,1015.70,null,null,null,null,null,null,null,null,52.00,0,11.11111111111111,0,5.555555555555555,3807.467553246818,0,0,0,0.15,0,0,11.70093205696079,FALSE,NA
P60,2023-09-01T09:56:00Z,64,41,42.88,0.00,0,0,30.17,1014.60,null,null,null,null,null,null,null,null,64.00,0,17.77777777777778,0,8.88888888888889,49124.150581099966,0,0,0,0.15,0,0,13.063491291137264,FALSE,NA
P60,2023-09-01T10:56:00Z,67,41,38.63,0.00,0,0,30.18,1015.00,null,null,null,null,null,null,null,null,67.00,0,19.444444444444446,0,9.722222222222223,93428.37359678524,0,0,0,0.15,0,0,13.404131099681383,FALSE,NA
P60,2023-09-01T11:56:00Z,68,46,45.19,0.00,0,0,30.19,1015.20,null,null,null,null,null,null,null,null,68.00,0,20,0,10,115764.15134728422,0,0,0,0.15,0,0,13.517677702529422,FALSE,NA
P60,2023-09-01T12:56:00Z,70,41,34.85,240.00,3,0,30.19,1014.10,null,null,null,null,null,null,null,null,70.00,0,21.11111111111111,0,10.555555555555555,177745.1323041102,0,0,0,0.15,1.5432098765432098,2.0119814336856185,13.744770908225503,FALSE,NA
P60,2023-09-01T13:56:00Z,65,43,44.73,280.00,7,0,30.21,1015.40,null,null,null,null,null,null,null,null,65.00,0,18.333333333333336,0,9.166666666666668,60860.48027235176,0,0,0,0.15,3.60082304526749,4.694623345266444,13.177037893985304,FALSE,NA
